Województwo,Rok,Kwartał,saldo migracji wewnętrznych
ZACHODNIOPOMORSKIE,2024,1,-131.0
ZACHODNIOPOMORSKIE,2024,2,-139.0
ZACHODNIOPOMORSKIE,2024,3,-193.0
ZACHODNIOPOMORSKIE,2024,4,-132.0
POLSKA,2016,0,0.0
DOLNOŚLĄSKIE,2016,0,2659.0
KUJAWSKO-POMORSKIE,2016,0,-1719.0
LUBELSKIE,2016,0,-4452.0
LUBUSKIE,2016,0,-740.0
ŁÓDZKIE,2016,0,-1695.0
MAŁOPOLSKIE,2016,0,3376.0
MAZOWIECKIE,2016,0,11167.0
PODKARPACKIE,2016,0,-2047.0
OPOLSKIE,2016,0,-726.0
POMORSKIE,2016,0,3485.0
ŚLĄSKIE,2016,0,-3428.0
ŚWIĘTOKRZYSKIE,2016,0,-1971.0
WIELKOPOLSKIE,2016,0,983.0
WARMIŃSKO-MAZURSKIE,2016,0,-2703.0
ZACHODNIOPOMORSKIE,2016,0,-624.0
PODLASKIE,2016,0,-1565.0
ZACHODNIOPOMORSKIE,2017,0,-808.0
POLSKA,2017,0,0.0
